Brands,Models,registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),price(in lakhs)
Mercedes-Benz,C-Class Progressive C 200,2021,Third Party insurance,Petrol,5,40045,First Owner,Automatic,2021,11.9,1950.0,1950.0,43.9
Maruti,A-Star Vxi,2011,Comprehensive,Petrol,5,75000,First Owner,Manual,2010,19.0,998.0,998.0,1.68
Mercedes-Benz,C-Class Progressive C 200,2021,Third Party insurance,Petrol,5,32325,First Owner,Automatic,2019,11.9,1950.0,1950.0,44.9
MG,Gloster Savvy 6-Str,2021,Third Party insurance,Diesel,6,68000,First Owner,Automatic,2021,12.4,1996.0,1996.0,33.0
Hyundai,Grand i10 Nios AMT Asta,2015,Comprehensive,Petrol,5,78501,First Owner,Automatic,2015,20.7,1197.0,1197.0,3.94
Land,Rover Discovery Sport Petrol SE 7S,2019,Zero Dep,Petrol,7,46853,First Owner,Automatic,2018,12.83,1997.0,1997.0,45.9
Maruti,Baleno Zeta,2021,Comprehensive,Petrol,5,27114,First Owner,Manual,2021,21.01,1197.0,1197.0,7.18
Hyundai,Creta 1.6 VTVT AT SX Plus,2017,Third Party insurance,Petrol,5,88000,First Owner,Automatic,2017,13.0,1591.0,1591.0,8.65
Maruti,Swift Dzire VXI,2013,Comprehensive,Petrol,5,58382,First Owner,Manual,2013,19.1,1197.0,1197.0,3.54
Skoda,Rapid 1.6 MPI Ambition Plus,2015,Third Party insurance,Petrol,5,80000,Second Owner,Manual,2015,15.0,1598.0,1598.0,3.3
Mercedes-Benz,C-Class Progressive C 200,2020,Zero Dep,Petrol,5,32628,First Owner,Automatic,2020,11.9,1950.0,1950.0,41.9
MG,Gloster Savvy 6-Str,2021,Comprehensive,Diesel,6,35000,First Owner,Automatic,2021,12.4,1996.0,1996.0,36.0
Mercedes-Benz,V-Class 2019-2022 Exclusive,2019,Zero Dep,Diesel,6,17000,First Owner,Automatic,2019,16.0,1950.0,1950.0,65.0
Maruti,Wagon R LXI CNG,2013,Comprehensive,CNG,5,77584,Second Owner,Manual,2013,26.6,998.0,998.0,2.8
Mahindra,Scorpio S6 Plus 7 Seater,2017,Third Party insurance,Diesel,7,70000,First Owner,Manual,2017,15.4,2179.0,2179.0,9.0
Maruti,Ignis 1.2 Zeta BSIV,2017,Comprehensive,Petrol,5,52690,Second Owner,Manual,2017,20.89,1197.0,1197.0,4.2
Hyundai,Creta SX Opt IVT,2022,Comprehensive,Petrol,5,11900,First Owner,Automatic,2022,14.0,1497.0,1497.0,18.25
Hyundai,i20 Sportz 1.2,2017,Comprehensive,Petrol,5,53747,First Owner,Manual,2017,18.6,1197.0,1197.0,5.77
BMW,X3 xDrive 20d Luxury Line,2020,Zero Dep,Diesel,5,32321,First Owner,Automatic,2019,16.55,1995.0,1995.0,49.9
Honda,Brio S MT,2015,Comprehensive,Petrol,5,55485,First Owner,Manual,2015,19.4,1198.0,1198.0,3.35
Land,Rover Range Rover Velar P250 R-Dynamic SE,2018,Third Party insurance,Petrol,5,54000,Second Owner,Automatic,2018,15.8,1997.0,1997.0,59.75
Maruti,Baleno 1.2 Zeta,2017,Comprehensive,Petrol,5,49404,First Owner,Manual,2017,21.4,1197.0,1197.0,5.44
Volkswagen,Virtus Topline BSVI,2023,Comprehensive,Petrol,5,9246,First Owner,Manual,2023,19.4,999.0,999.0,15.62
Toyota,Innova Crysta 2.7 ZX AT BSIV,2018,Comprehensive,Petrol,7,42000,First Owner,Automatic,2018,10.75,2694.0,2694.0,17.9
Tata,Tiago 1.05 Revotorq XT,2018,Comprehensive,Diesel,5,42462,First Owner,Manual,2018,27.28,1047.0,1047.0,4.3
Mahindra,Alturas G4 4X4 AT,2021,Third Party insurance,Diesel,7,30000,First Owner,Automatic,2021,12.05,2157.0,2157.0,24.75
Hyundai,i20 Magna,2012,Comprehensive,Petrol,5,96660,First Owner,Manual,2012,18.5,1197.0,1197.0,2.47
Hyundai,Grand i10 Asta,2014,Comprehensive,Petrol,5,38963,First Owner,Manual,2014,18.9,1197.0,1197.0,4.13
